year,origin,export_val,import_val,dest
1962,colombia,5000.0,0.0,Czechoslovakia
1962,colombia,1059000.0,0.0,Czechoslovakia
1963,colombia,1844000.0,0.0,Czechoslovakia
1964,colombia,5000.0,0.0,Czechoslovakia
1964,colombia,321000.0,0.0,Czechoslovakia
1965,colombia,1000.0,0.0,Czechoslovakia
1965,colombia,1539000.0,0.0,Czechoslovakia
1966,colombia,5000.0,0.0,Czechoslovakia
1966,colombia,1172000.0,0.0,Czechoslovakia
1967,colombia,3000.0,0.0,Czechoslovakia
1967,colombia,1354000.0,0.0,Czechoslovakia
1968,colombia,2000.0,0.0,Czechoslovakia
1968,colombia,1921000.0,0.0,Czechoslovakia
1969,colombia,1823000.0,0.0,Czechoslovakia
1970,colombia,1847000.0,0.0,Czechoslovakia
1971,colombia,890000.0,0.0,Czechoslovakia
1972,colombia,1586000.0,0.0,Czechoslovakia
1973,colombia,3334000.0,0.0,Czechoslovakia
1974,colombia,1944000.0,0.0,Czechoslovakia
1975,colombia,2176000.0,0.0,Czechoslovakia
1976,colombia,2965000.0,0.0,Czechoslovakia
1977,colombia,39000.0,0.0,Czechoslovakia
1977,colombia,8471000.0,0.0,Czechoslovakia
1979,colombia,24000.0,0.0,Czechoslovakia
1979,colombia,5126000.0,0.0,Czechoslovakia
1980,colombia,2310000.0,0.0,Czechoslovakia
1981,colombia,44000.0,0.0,Czechoslovakia
1981,colombia,6687000.0,0.0,Czechoslovakia
1982,colombia,6303000.0,0.0,Czechoslovakia
1983,colombia,11460000.0,0.0,Czechoslovakia
1989,colombia,15448121.0,0.0,Czechoslovakia
1990,colombia,11405091.0,0.0,Czechoslovakia
1992,colombia,62936.0,0.0,Czechoslovakia
1992,colombia,6149770.0,0.0,Czechoslovakia
1962,colombia,1315000.0,0.0,Democratic Republic of Germany
1963,colombia,1789000.0,0.0,Democratic Republic of Germany
1964,colombia,4956000.0,0.0,Democratic Republic of Germany
1965,colombia,4812000.0,0.0,Democratic Republic of Germany
1966,colombia,7194000.0,0.0,Democratic Republic of Germany
1967,colombia,7321000.0,0.0,Democratic Republic of Germany
1968,colombia,7275000.0,0.0,Democratic Republic of Germany
1969,colombia,7600000.0,0.0,Democratic Republic of Germany
1970,colombia,7721000.0,0.0,Democratic Republic of Germany
1971,colombia,6047000.0,0.0,Democratic Republic of Germany
1972,colombia,3076000.0,0.0,Democratic Republic of Germany
1973,colombia,3953000.0,0.0,Democratic Republic of Germany
1974,colombia,8469000.0,0.0,Democratic Republic of Germany
1975,colombia,5880000.0,0.0,Democratic Republic of Germany
1976,colombia,19283000.0,0.0,Democratic Republic of Germany
1977,colombia,34003000.0,0.0,Democratic Republic of Germany
1979,colombia,13136000.0,0.0,Democratic Republic of Germany
1980,colombia,37285000.0,0.0,Democratic Republic of Germany
1981,colombia,28000.0,0.0,Democratic Republic of Germany
1981,colombia,19361000.0,0.0,Democratic Republic of Germany
1982,colombia,45000.0,0.0,Democratic Republic of Germany
1982,colombia,33064000.0,0.0,Democratic Republic of Germany
1983,colombia,27285000.0,0.0,Democratic Republic of Germany
1962,colombia,45365000.0,0.0,Germany
1963,colombia,47814000.0,0.0,Germany
1964,colombia,59527000.0,0.0,Germany
1965,colombia,67916000.0,0.0,Germany
1966,colombia,57376000.0,0.0,Germany
1967,colombia,57874000.0,0.0,Germany
1968,colombia,65455000.0,0.0,Germany
1969,colombia,76961000.0,0.0,Germany
1970,colombia,11000.0,0.0,Germany
1970,colombia,100201000.0,0.0,Germany
