date,excelso_price_cents_per_pound
2008-06-01,146.78333333333336
2008-07-01,153.33838709677417
2008-08-01,150.12580645161287
2008-09-01,150.27866666666665
2008-10-01,133.2935483870968
2008-11-01,129.8723333333333
2008-12-01,131.41935483870964
2009-01-01,139.17161290322576
2009-02-01,145.21785714285718
2009-03-01,151.3551612903226
2009-04-01,177.39199999999997
2009-05-01,206.05645161290323
2009-06-01,200.91366666666661
2009-07-01,186.96516129032258
2009-08-01,187.86129032258057
2009-09-01,178.013
2009-10-01,177.51548387096776
2009-11-01,177.48599999999993
2009-12-01,191.166129032258
2010-01-01,204.6745161290322
2010-02-01,205.1853571428571
2010-03-01,205.54548387096781
2010-04-01,201.93666666666667
2010-05-01,199.3735483870968
2010-06-01,219.26966666666672
2010-07-01,235.5845161290323
2010-08-01,243.6919354838709
2010-09-01,248.5226666666667
2010-10-01,230.8322580645162
2010-11-01,243.89699999999993
2010-12-01,256.60419354838706
2011-01-01,279.36483870967743
2011-02-01,294.55892857142857
2011-03-01,301.1051612903226
2011-04-01,308.5470000000001
2011-05-01,306.9467741935483
2011-06-01,288.5743333333333
2011-07-01,286.75741935483876
2011-08-01,281.79935483870963
2011-09-01,296.1283333333333
2011-10-01,258.2448387096774
2011-11-01,256.936
2011-12-01,252.73967741935488
2012-01-01,256.11677419354845
2012-02-01,246.30103448275864
2012-03-01,226.06612903225817
2012-04-01,215.293
2012-05-01,209.50967741935492
2012-06-01,185.88433333333336
2012-07-01,200.92193548387095
2012-08-01,188.57709677419354
2012-09-01,189.2786666666666
2012-10-01,183.15935483870973
2012-11-01,171.1003333333333
2012-12-01,166.04709677419356
2013-01-01,168.83000000000004
2013-02-01,162.53428571428574
2013-03-01,161.74741935483874
2013-04-01,162.18899999999994
2013-05-01,160.001935483871
2013-06-01,148.41533333333334
2013-07-01,147.52774193548382
2013-08-01,144.29258064516125
2013-09-01,139.12466666666666
2013-10-01,135.16967741935485
2013-11-01,125.36099999999995
2013-12-01,125.92032258064515
2014-01-01,131.9741935483871
